opcode,meas,index,voice,loc,eloc,oloc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,tie,onset,pedal,dyn,even,tempo,player_id,piano_id,src,seg_label,spirio_label,uid
nof,3,70,3,70,51,,1024,12.593000000000004,,,,,,,144,32,0,,,,,,,,,,,2,1,cut_0,gutim_1,,70
nof,3,71,1,71,52,,2560,13.307000000000002,,,,,,,144,76,0,,,,,,,,,,,2,1,cut_0,gutim_1,,71
nof,3,72,3,72,52,,2560,13.307000000000002,,,,,,,144,57,0,,,,,,,,,,,2,1,cut_0,gutim_1,,72
bar,4,73,0,73,52,,0,13.307000000000002,,,,,,,,,,4,,,,,,,,,,2,1,cut_0,gutim_1,,73
non,4,74,1,74,52,25,0,13.307000000000002,1.42857142857143,1.0,1,G#4,ff,22,144,68,22,,,,,,o,,,,,2,1,cut_0,gutim_1,,74
non,4,75,3,75,52,25,0,13.307000000000002,0.535714285714286,4.0,1,C#2,ppp,5,144,37,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,75
nof,4,76,3,76,53,,0,13.843000000000004,,,,,,,144,37,0,,,,,,,,,,,2,1,cut_0,gutim_1,,76
non,4,77,3,77,53,26,384,13.843000000000004,0.535714285714286,4.0,1,B1,ppp,5,144,35,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,77
ped,4,78,,78,54,,,14.353999999999997,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,78
nof,4,79,3,79,55,,384,14.378999999999998,,,,,,,144,35,0,,,,,,,,,,,2,1,cut_0,gutim_1,,79
non,4,80,3,80,55,27,768,14.378999999999998,1.07142857142857,2.0,1,A4,f,20,144,69,20,,,,,,o,,,,,2,1,cut_0,gutim_1,,80
nof,4,81,3,81,56,,768,14.429000000000002,,,,,,,144,69,0,,,,,,,,,,,2,1,cut_0,gutim_1,,81
nof,4,82,1,82,57,,0,14.736000000000004,,,,,,,144,68,0,,,,,,,,,,,2,1,cut_0,gutim_1,,82
ped,4,83,0,83,58,,1680,15.578000000000003,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,83
ped,4,84,,84,59,,1790,15.878,,,,,,,176,64,44,,,,,,,dhV,,,,2,1,cut_0,gutim_1,,84
nof,4,85,1,85,60,,2048,17.057000000000002,,,,,,,144,64,0,,,,,,,,,,,2,1,cut_0,gutim_1,,85
non,4,86,1,86,61,28,,17.593000000000004,0.05,8.0,0,C#2,f,20,144,37,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,86
non,4,87,1,87,61,28,,17.593000000000004,0.05,8.0,0,F#2,f,20,144,42,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,87
non,4,88,1,88,61,28,,17.593000000000004,0.05,8.0,0,E4,f,20,144,64,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,88
nof,4,89,1,89,62,,,17.643,,,,,,,144,37,0,,,,,,,,,,,2,1,cut_0,gutim_1,,89
nof,4,90,1,90,62,,,17.643,,,,,,,144,42,0,,,,,,,,,,,2,1,cut_0,gutim_1,,90
nof,4,91,1,91,62,,,17.643,,,,,,,144,64,0,,,,,,,,,,,2,1,cut_0,gutim_1,,91
non,4,92,1,92,63,29,,17.668,0.05,8.0,0,D3,f,20,144,50,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,92
non,4,93,1,93,63,29,,17.668,0.05,8.0,0,F5,f,20,144,77,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,93
nof,4,94,1,94,64,,,17.718000000000004,,,,,,,144,50,0,,,,,,,,,,,2,1,cut_0,gutim_1,,94
nof,4,95,1,95,64,,,17.718000000000004,,,,,,,144,77,0,,,,,,,,,,,2,1,cut_0,gutim_1,,95
non,4,96,1,96,65,30,,17.743000000000002,0.05,8.0,0,A4,f,20,144,69,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,96
nof,4,97,1,97,66,,,17.793,,,,,,,144,69,0,,,,,,,,,,,2,1,cut_0,gutim_1,,97
non,4,98,1,98,67,31,,17.817999999999998,0.05,8.0,0,A2,f,20,144,45,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,98
non,4,99,1,99,67,31,,17.817999999999998,0.05,8.0,0,C#3,f,20,144,49,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,99
non,4,100,1,100,67,31,,17.817999999999998,0.05,8.0,0,F7,f,20,144,101,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,100
nof,4,101,1,101,68,,,17.868000000000002,,,,,,,144,45,0,,,,,,,,,,,2,1,cut_0,gutim_1,,101
nof,4,102,1,102,68,,,17.868000000000002,,,,,,,144,49,0,,,,,,,,,,,2,1,cut_0,gutim_1,,102
nof,4,103,1,103,68,,,17.868000000000002,,,,,,,144,101,0,,,,,,,,,,,2,1,cut_0,gutim_1,,103
non,4,104,1,104,69,32,,17.893,0.05,8.0,0,F4,f,20,144,65,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,104
nof,4,105,1,105,70,,,17.942999999999998,,,,,,,144,65,0,,,,,,,,,,,2,1,cut_0,gutim_1,,105
non,4,106,1,106,71,33,,17.968000000000004,0.05,8.0,0,G7,f,20,144,103,20,,,,g,,o,,,E,,2,1,cut_0,gutim_1,,106
nof,4,107,1,107,72,,,18.018,,,,,,,144,103,0,,,,,,,,,,,2,1,cut_0,gutim_1,,107
ped,4,108,,108,72,,,18.018,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,108
bar,5,109,0,109,73,,0,18.043,,,,,,,,,,5,,,,,,,,,,2,1,cut_0,gutim_1,,109
non,5,111,1,111,75,34,0,18.043,2.85714285714286,0.5,0,C7,mp,14,144,96,14,,,,,,o,,,,,2,1,cut_0,gutim_1,,111
ped,5,110,,110,74,,,18.067999999999998,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,110
ped,5,112,,112,76,,,20.65,,,,,,,176,64,43,,,,,,,dh^,,,,2,1,cut_0,gutim_1,,112
non,5,113,1,113,77,35,,20.674999999999997,0.05,8.0,0,Bb2,mp,14,144,46,14,,,,g,,o,,d,e,,2,1,cut_0,gutim_1,,113
nof,5,114,1,114,78,,,20.725,,,,,,,144,46,0,,,,,,,,,,,2,1,cut_0,gutim_1,,114
non,5,115,1,115,79,36,,20.75,0.05,8.0,0,Ab1,ppp,5,144,32,5,,,,g,,o,,d,e,,2,1,cut_0,gutim_1,,115
nof,5,116,1,116,80,,,20.799999999999997,,,,,,,144,32,0,,,,,,,,,,,2,1,cut_0,gutim_1,,116
non,5,117,1,117,81,37,,20.825000000000003,0.05,8.0,0,F4,mf,17,144,65,17,,,,g,,o,,d,e,,2,1,cut_0,gutim_1,,117
nof,5,118,1,118,82,,,20.875,,,,,,,144,65,0,,,,,,,,,,,2,1,cut_0,gutim_1,,118
ped,5,119,,119,82,,,20.875,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,119
non,5,120,1,120,83,38,2048,20.9,2.14285714285714,1.0,1,Db6,f,20,144,85,20,,,,,t,o,,d 5920,E 5920,,2,1,cut_0,gutim_1,,120
nof,5,121,1,121,84,,0,21.35,,,,,,,144,96,0,,,,,,,,,,,2,1,cut_0,gutim_1,,121
non,5,122,1,122,85,39,,23.410000000000004,0.05,8.0,0,Ab5,ppp,5,144,80,5,,,,g,,o,,,,,2,1,cut_0,gutim_1,,122
nof,5,123,1,123,86,,,23.46,,,,,,,144,80,0,,,,,,,,,,,2,1,cut_0,gutim_1,,123
non,5,124,1,124,87,40,,23.485,0.05,8.0,0,D4,ppp,5,144,62,5,,,,g,,o,,,,,2,1,cut_0,gutim_1,,124
nof,5,125,1,125,88,,,23.535000000000004,,,,,,,144,62,0,,,,,,,,,,,2,1,cut_0,gutim_1,,125
nof,5,126,1,126,89,,2048,23.560000000000002,,,,,,,144,85,0,,,,,,,,,,,2,1,cut_0,gutim_1,,126
non,5,127,1,127,89,41,256,23.560000000000002,0.193965517241379,16.0,1,F#6,pp,8,144,90,8,,,,,,o,,,,,2,1,cut_0,gutim_1,,127
non,5,128,3,128,90,42,288,23.625,0.0646551724137931,32.0,0,A2,pp,8,144,45,8,,,,,,o,,,,,2,1,cut_0,gutim_1,,128
nof,5,129,3,129,91,,288,23.689999999999998,,,,,,,144,45,0,,,,,,,,,,,2,1,cut_0,gutim_1,,129
non,5,130,3,130,91,43,320,23.689999999999998,0.0646551724137931,32.0,0,A3,pp,8,144,57,8,,,,,,o,,,,,2,1,cut_0,gutim_1,,130
nof,5,131,1,131,92,,256,23.753999999999998,,,,,,,144,90,0,,,,,,,,,,,2,1,cut_0,gutim_1,,131
nof,5,132,3,132,92,,320,23.753999999999998,,,,,,,144,57,0,,,,,,,,,,,2,1,cut_0,gutim_1,,132
non,5,133,1,133,92,44,352,23.753999999999998,0.0646551724137931,32.0,0,G7,ppp,5,144,103,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,133
non,5,134,3,134,92,44,352,23.753999999999998,0.0646551724137931,32.0,0,D2,pp,8,144,38,8,,,,,,o,,,,,2,1,cut_0,gutim_1,,134
ped,5,135,,135,93,,,23.794000000000004,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,135
